,Repository,Clone URL,Stars,Size,Mentionable Users,Commits,Language,Bus Factor,Execution time series
153,pmndrs/react-spring,https://github.com/pmndrs/react-spring.git,25696,672495,185,312,TypeScript,0,0.0
154,labstack/echo,https://github.com/labstack/echo.git,25685,6120,255,120,Go,0,0.0
155,Automattic/mongoose,https://github.com/Automattic/mongoose.git,25670,106960,961,4363,JavaScript,0,0.0
156,alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba.git,25644,21681,168,529,Java,0,0.0
157,ajaxorg/ace,https://github.com/ajaxorg/ace.git,25642,41949,469,464,JavaScript,0,0.0
158,acheong08/ChatGPT,https://github.com/acheong08/ChatGPT.git,25610,1697,122,1485,Python,0,0.0
159,portainer/portainer,https://github.com/portainer/portainer.git,25563,73614,228,1126,Go,0,0.0
160,lapce/lapce,https://github.com/lapce/lapce.git,25527,22596,135,2071,Rust,0,0.0
161,floating-ui/floating-ui,https://github.com/floating-ui/floating-ui.git,25470,28689,76,799,TypeScript,0,0.0
162,mattermost/mattermost-server,https://github.com/mattermost/mattermost-server.git,25436,746701,769,2656,TypeScript,0,0.0
163,freeCodeCamp/devdocs,https://github.com/freeCodeCamp/devdocs.git,31491,30690,203,857,Ruby,0,0.0
164,prisma/prisma,https://github.com/prisma/prisma.git,31471,96088,224,1882,TypeScript,0,0.0
165,mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy.git,31054,57431,427,734,Python,0,0.0
166,pmndrs/zustand,https://github.com/pmndrs/zustand.git,31021,5909,203,315,TypeScript,0,0.0
167,bannedbook/fanqiang,https://github.com/bannedbook/fanqiang.git,30647,712082,4,185,Kotlin,0,0.0
168,n8n-io/n8n,https://github.com/n8n-io/n8n.git,30480,130850,332,3701,TypeScript,0,0.0
169,carbon-language/carbon-lang,https://github.com/carbon-language/carbon-lang.git,30464,10388,117,991,C++,0,0.0
170,rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework.git,30268,891906,2178,5396,Ruby,0,0.0
171,curl/curl,https://github.com/curl/curl.git,30178,56573,929,2495,C,0,0.0
172,beego/beego,https://github.com/beego/beego.git,29760,11360,391,137,Go,0,0.0
173,markedjs/marked,https://github.com/markedjs/marked.git,29754,8380,158,404,JavaScript,0,0.0
174,google/googletest,https://github.com/google/googletest.git,29692,12852,398,416,C++,0,0.0
175,hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI.git,29686,23396,129,2335,Python,0,0.0
176,docker/compose,https://github.com/docker/compose.git,29486,24300,153,1108,Go,0,0.0
177,sudheerj/reactjs-interview-questions,https://github.com/sudheerj/reactjs-interview-questions.git,29371,2068,89,133,JavaScript,0,0.0
178,google-research/google-research,https://github.com/google-research/google-research.git,29346,531178,535,1331,Jupyter Notebook,0,0.0
179,odoo/odoo,https://github.com/odoo/odoo.git,29191,6060546,2284,11857,JavaScript,0,0.0
180,hankcs/HanLP,https://github.com/hankcs/HanLP.git,29101,72720,35,183,Python,0,0.0
181,dimsemenov/PhotoSwipe,https://github.com/dimsemenov/PhotoSwipe.git,22895,30540,70,225,JavaScript,0,0.0
182,ApolloAuto/apollo,https://github.com/ApolloAuto/apollo.git,22765,3179449,322,1159,C++,0,0.0
183,schollz/croc,https://github.com/schollz/croc.git,22750,24654,79,147,Go,0,0.0
